property_name,full_address,city,state,zip,property_type,square_footage,acquisition_price,acquisition_date,notes,external_id,image_url,unit_name,rent_price,tenant_name,unit_notes,year,month,rent_date,rent_amount,payment_method,rent_notes
1199 Flatbush Ave,1199 Flatbush Ave,Brooklyn,NY,,Multi-family,,,,,1199-flatbush-ave,,3F,2500,,,,,,,,
1661 Pitkin Ave,1661 Pitkin Ave,Brooklyn,NY,,Multi-family,,,,,1661-pitkin-ave,,1661A,1485,,1303.0 sq ft,,,,,,
1661 Pitkin Ave,1661 Pitkin Ave,Brooklyn,NY,,Multi-family,,,,,1661-pitkin-ave,,1661B,3785,,1303.0 sq ft,,,,,,
1661 Pitkin Ave,1661 Pitkin Ave,Brooklyn,NY,,Multi-family,,,,,1661-pitkin-ave,,1661 Basement,1863,,1303.0 sq ft,,,,,,
2257 Church Ave,2257 Church Ave,Brooklyn,NY,,Multi-family,,,,,2257-church-ave,,Store,4125,,3354.0 sq ft,,,,,,
2257 Church Ave,2257 Church Ave,Brooklyn,NY,,Multi-family,,,,,2257-church-ave,,2F,4125,,3354.0 sq ft,,,,,,
2257 Church Ave,2257 Church Ave,Brooklyn,NY,,Multi-family,,,,,2257-church-ave,,3F,4125,,3354.0 sq ft,,,,,,
5022 Church Ave,5022 Church Ave,Brooklyn,NY,,Multi-family,,,,,5022-church-ave,,Store,5000,,,,,,,,
5022 Church Ave,5022 Church Ave,Brooklyn,NY,,Multi-family,,,,,5022-church-ave,,2F,2000,,,,,,,,
5022 Church Ave,5022 Church Ave,Brooklyn,NY,,Multi-family,,,,,5022-church-ave,,3F,1800,,,,,,,,
1424 Nostrand Ave,1424 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1424-nostrand-ave,,Store,2400,,,,,,,,
1424 Nostrand Ave,1424 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1424-nostrand-ave,,2f,,,,,,,,,
1424 Nostrand Ave,1424 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1424-nostrand-ave,,3f,,,,,,,,,
1426 Nostrand Ave,1426 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1426-nostrand-ave,,276 Martense,,,,,,,,,
1426 Nostrand Ave,1426 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1426-nostrand-ave,,Store,6761,,,,,,,,
1426 Nostrand Ave,1426 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1426-nostrand-ave,,2F,2500,,,,,,,,
1426 Nostrand Ave,1426 Nostrand Ave,Brooklyn,NY,,Multi-family,,,,,1426-nostrand-ave,,3F,2700,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181A,1900,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181B,2000,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181 1F,2200,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181 2F,200,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181 1R,2678,,,,,,,,
181 Woodruff Ave,181 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,181-woodruff-ave,,181 2R,2500,,,,,,,,
183 Woodruff Ave,183 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,183-woodruff-ave,,1R,2600,,,,,,,,
183 Woodruff Ave,183 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,183-woodruff-ave,,3F,2416,,,,,,,,
183 Woodruff Ave,183 Woodruff Ave,Brooklyn,NY,,Multi-family,,,,,183-woodruff-ave,,3R,2416,,,,,,,,
